status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150715586389999,"""As long as Donald J. Trump remains a private citizen, the worst he can do is to throw up an ugly apartment building or hotel in your neighborhood,"" writes Gail Collins. ""But the president thing is no longer a joke."" Read on in The New York Times Opinion Section.",The Donald Trump Days of Christmas,link,http://nyti.ms/1OMYU0E,2015-12-24 09:55:01,539,61,71
5281959998_10150715580144999,"Michoacán is no North Pole. Yet it celebrates Christmas every day of the year all the same, as a production center of handmade ornaments for the Mexican, American and Canadian markets.",A Christmas Economy Thrives All Year in the Mountains of Mexico,link,http://nyti.ms/1PmcAmh,2015-12-24 09:25:00,383,14,63
5281959998_10150715583259999,Several of the surviving hostages and their families said that reparations were long overdue and would serve as an important symbol.,"Americans Held Hostage in Iran Win Compensation, 36 Years Later",link,http://nyti.ms/1OpFvZC,2015-12-24 08:55:01,319,35,46
5281959998_10150715578239999,"Quote of the Day: ""We know far too many people who have been caught up in gun violence in this country. And we can do something about it."" — Kathleen Behrens, the NBA's president for social responsibility and player programs, on the league’s advertising campaign on gun violence.",N.B.A. Lends Its Name and Its Stars to Campaign Against Gun Violence,link,http://nyti.ms/1MwdZC2,2015-12-24 08:25:03,634,44,62
5281959998_10150715400379999,Here are the travel apps to keep.,12 Travel Apps Worth Keeping in 2016,link,http://nyti.ms/1PlEznR,2015-12-24 07:55:00,90,12,38
5281959998_10150715447444999,Some of the biggest banks will not accept New York City's new IDs.,"Banks Reject New York City IDs, Leaving ‘Unbanked’ on Sidelines",link,http://nyti.ms/1QNg2cL,2015-12-24 06:56:01,611,107,134
5281959998_10150715362554999,A comforting start to the day.,Blueberry Coconut Oatmeal Pudding Recipe,link,http://nyti.ms/1khUpD0,2015-12-24 05:55:00,915,39,200
5281959998_10150715445844999,"""What no one tells you when you become the new woman in an already intact family is that your needs and routines, sexual and otherwise, come last.""","A Stepmother, Losing Her Marbles",link,http://nyti.ms/1QNfsvA,2015-12-24 03:55:01,733,87,78
5281959998_10150715443974999,The deadly Shenzhen landslide is the latest example of the perils of China's rapid growth.,Shenzhen Landslide Casts Shadow Over China’s Success Story,link,http://nyti.ms/1QNeJdZ,2015-12-24 02:55:02,246,23,50
5281959998_10150715449744999,The future of photography may no longer need a lens.,Photography Without a Lens? Future of Images May Lie in Data,link,http://nyti.ms/1QNgmIx,2015-12-24 01:55:00,510,46,253
5281959998_10150715471919999,Suspicions mount that ailing President Abdelaziz Bouteflika is no longer running Algeria.,Who Runs Algeria? Many Doubt It’s Ailing President Abdelaziz Bouteflika,link,http://nyti.ms/1ZqlaVP,2015-12-24 01:25:03,242,30,65
5281959998_10150715438869999,The Americans who were killed by a suicide bomber were part of an Air Force team trained in counterterrorism.,"Family, Football and Quiet Pride Defined Service Members Killed in Afghanistan",link,http://nyti.ms/1QNcFT9,2015-12-24 00:55:00,656,57,102
5281959998_10150715443144999,"“It was so exciting to hear a millionaire or a head of state ask, in a little boy’s voice, for the one thing that only you could provide.”","Fernande Grudet, Brothel Owner Known as Madame Claude, Dies at 92",link,http://nyti.ms/1QNexLI,2015-12-24 00:25:01,758,48,173
5281959998_10150715433439999,"Cassettes are making a comeback. Some record labels are tapes-only. Really.

(via The New York Times Opinion Section)",Our Misplaced Nostalgia for Cassette Tapes,link,http://nyti.ms/1QNaIWW,2015-12-23 23:55:01,1351,161,580
